HM-1036,Bacteroides stercoris CC31F,0.31
HM-18,Bacteroides sp. 2_1_22,0.34
HM-720,Bacteroides vulgatus CL09T03C04,0.49
HM-725,Bacteroides salyersiae CL02T12C01,0.49
HM-728,Bacteroides caccae CL03T12C61,0.89
HM-210,Bacteroides eggerthii 1_2_48FAA,0.97
HM-726,Bacteroides cellulosilyticus CL02T12C19,1.53
HM-222,Bacteroides ovatus 3_8_47FAA,1.59
HM-727,Bacteroides finegoldii CL09T03C10,3.38
HM-717,Bacteroides dorei CL02T00C15,28.27
HM-709,Bacteroides fragilis CL07T00C01,61.59
HM-20,Bacteroides fragilis 3_1_12,63.5
HM-4,Bacteroidetes F0058,0.19
HM-15,Capnocytophaga ochracea F0287,0.03927904
HM-840 ,Capnocytophaga sp. F0502,0.559772
HM-729,Parabacteroides merdae CL09T00C40,1.1
HM-1050,Parabacteroides goldsteinii CC87F,6.77
HM-1071,Porphyromonas gingivalis F0568,0.08
HM-1073,Porphyromonas gingivalis F0570,0.36
HM-781,Porphyromonas sp. KLE1280,0.42
HM-130,Porphyromonas uenonis UPII 60-3,0.9
HM-1064,Porphyromonas sp. W7784,1.24
HM-1054,Prevotella Oral Cavityis CC98A,0.08
HM-849,Prevotella Oral Cavityis HGA0225,0.09
HM-208,"Prevotella denticola F0289, Oral CavityTaxon 291",0.1
HM-93,Prevotella oris F0302,0.25
HM-1171,Prevotella disiens DNF00882,0.28
HM-92,Prevotella verOral Cavityis F0319,0.31
HM-1286,Prevotella bivia GED7760C,0.49
HM-80,Prevotella melaninogenica D18,0.51
HM-1294,Prevotella corporis MJR7716,0.567956398
HM-471,Prevotella histicola F0411,0.64
HM-16,Prevotella sp. F0295,0.68
HM-138,Prevotella amnii CRIS 21A-A,0.77
HM-5,Prevotella sp. F0108,0.81
HM-1270,Prevotella bivia GED7880,0.83
HM-45,Prevotella buccae D17,0.87
HM-1165,Prevotella bivia DNF00650,0.93
HM-136,Prevotella timonensis CRIS 5C-B1,1.2
HM-271,Prevotella nigrescens F0103,1.33
HM-1103,Prevotella sp. S7-1-8,1.72